Desc,JAVA double,JAVA BigDecimal,Python float
exp  0,2.2969099000038113,109.51248269999633,73.00322090000554
exp  1,2.405659800002468,104.75108259999251,79.84418470000674
min,2.2969099000038113,104.75108259999251,73.00322090000554
max,2.405659800002468,109.51248269999633,79.84418470000674
mean,2.3512848500031396,107.13178264999442,76.42370280000614
median,2.3512848500031396,107.13178264999442,76.42370280000614
standard deviation,0.0768977917424089,3.3668182986550006,4.837291892832535
